epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,8398.04,0.55158,0.37436,0.85402,0.99117,0.99073,0.99464,0.87983,0.55085,0.3262,0.81542,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,8597.01,0.54038,0.35965,0.85235,0.99081,0.99706,0.99416,0.87285,0.5548,0.32455,0.81936,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,8797.16,0.55151,0.36389,0.84951,0.99352,0.99706,0.9937,0.86657,0.5687,0.32071,0.82033,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,8995.49,0.5589,0.36219,0.85176,0.99348,0.99118,0.99427,0.86746,0.57118,0.3319,0.81853,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,9193.32,0.53372,0.34746,0.84832,0.99353,0.99412,0.99485,0.87549,0.57885,0.32182,0.81914,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,9392.67,0.53809,0.34371,0.84778,0.98504,0.99706,0.99366,0.87416,0.5673,0.32735,0.82012,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,9593.09,0.54428,0.34876,0.85562,0.98832,0.99585,0.99325,0.86698,0.57639,0.32605,0.82214,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,9792.03,0.54209,0.34945,0.85556,0.99123,0.99673,0.99449,0.87628,0.57268,0.31221,0.82238,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,9992.28,0.53166,0.34272,0.84912,0.99276,0.99412,0.99373,0.87599,0.5659,0.31463,0.81711,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,10194,0.54119,0.34814,0.85054,0.99376,0.99412,0.99444,0.87591,0.56321,0.32122,0.8149,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
